,Date,NumBikeHires
235,20/08/2018,26827
236,20/09/2018,14282
237,20/10/2018,25355
238,20/11/2018,19127
239,20/12/2017,4568
240,21/01/2018,4973
241,21/02/2018,7491
242,21/03/2018,7384
243,21/04/2018,24404
244,21/05/2018,31236
245,21/06/2018,34621
246,21/07/2018,21283
247,21/08/2018,25133
248,21/09/2018,18266
249,21/10/2018,23906
250,21/11/2018,15732
251,21/12/2017,5734
252,22/01/2018,4503
253,22/02/2018,7712
254,22/03/2018,14007
255,22/04/2018,6852
256,22/05/2018,13790
257,22/06/2018,34079
258,22/07/2018,18563
259,22/08/2018,26072
260,22/09/2018,26398
261,22/10/2018,26075
262,22/11/2018,16496
263,22/12/2017,7184
264,23/01/2018,3981
265,23/02/2018,5797
266,23/03/2018,14969
267,23/04/2018,977
268,23/05/2018,27674
269,23/06/2018,31949
270,23/07/2018,24890
271,23/08/2018,15958
272,23/09/2018,20060
273,23/10/2018,21601
274,23/11/2018,16314
275,23/12/2017,6624
276,24/01/2018,3154
277,24/02/2018,6356
278,24/03/2018,12243
279,24/04/2018,20144
280,24/05/2018,28781
281,24/06/2018,27028
282,24/07/2018,24635
283,24/08/2018,11658
284,24/09/2018,17259
285,24/10/2018,26418
286,24/11/2018,6477
287,24/12/2017,2014
288,25/01/2018,3113
289,25/02/2018,6500
290,25/03/2018,10963
291,25/04/2018,26285
292,25/05/2018,29057
293,25/06/2018,32702
294,25/07/2018,25918
295,25/08/2018,27302
296,25/09/2018,23350
297,25/10/2018,27258
298,25/11/2018,11212
299,25/12/2017,3966
300,26/01/2018,2931
301,26/02/2018,9247
302,26/03/2018,13084
303,26/04/2018,25670
304,26/05/2018,28079
305,26/06/2018,5200
306,26/07/2018,24915
307,26/08/2018,19310
308,26/09/2018,28018
309,26/10/2018,13377
310,26/11/2018,17162
311,26/12/2017,5605
312,27/01/2018,2693
313,27/02/2018,8862
314,27/03/2018,14710
315,27/04/2018,25861
316,27/05/2018,28991
317,27/06/2018,29755
318,27/07/2018,23275
319,27/08/2018,14435
320,27/09/2018,30789
321,27/10/2018,18398
322,27/11/2018,16282
323,27/12/2017,5351
324,28/01/2018,2828
325,28/02/2018,3820
326,28/03/2018,17295
327,28/04/2018,24940
328,28/05/2018,31020
329,28/06/2018,21647
330,28/07/2018,16880
331,28/08/2018,9092
332,28/09/2018,0
333,28/10/2018,11589
334,28/11/2018,16524
335,28/12/2017,6594
336,29/01/2018,4088
337,29/03/2018,17450
338,29/04/2018,25349
339,29/05/2018,24355
340,29/06/2018,30297
341,29/07/2018,18190
342,29/08/2018,9184
343,29/09/2018,31447
344,29/10/2018,19877
345,29/11/2018,16423
346,29/12/2017,7663
347,30/01/2018,3360
348,30/03/2018,19301
349,30/04/2018,25462
350,30/05/2018,30372
351,30/06/2018,20479
352,30/07/2018,23695
353,30/08/2018,20959
354,30/09/2018,0
355,30/10/2018,20822
356,30/11/2018,16297
357,30/12/2017,4027
358,31/01/2018,3830
359,31/03/2018,19247
360,31/05/2018,31681
361,31/07/2018,22897
362,31/08/2018,27817
363,31/10/2018,21545
364,31/12/2017,3423
